,country
5495,"South Korea, China, United States"
5497,Guatemala
5502,Ukraine
5519,"United States, United Kingdom, Canada, China"
5536,"Italy, South Africa, West Germany, Australia, United States"
5545,"United Kingdom, Finland, Germany"
5561,"South Africa, United States, Germany"
5563,"United States, Germany, United Kingdom, Australia"
5564,"India, Soviet Union"
5596,"Italy, France, Switzerland"
5606,"Canada, France, United States"
5618,"United States, Colombia"
5624,"India, Malaysia"
5632,"Switzerland, United States"
5647,"Thailand, Canada, United States"
5651,"China, Hong Kong, United States"
5671,"United Kingdom, New Zealand"
5683,"United Kingdom, France, Germany, United States"
5684,"South Korea, Czech Republic"
5700,"Czech Republic, United Kingdom, France"
5715,"Australia, United Kingdom, Canada"
5744,"Canada, United Kingdom, United States"
5745,"United States, Hungary"
5772,"Jamaica, United States"
5802,Switzerland
5825,"Australia, United Kingdom, United States, New Zealand, Italy, France"
5838,"France, United States, Canada"
5846,"Australia, United Kingdom"
5852,"United States, Denmark"
5876,"United Kingdom, France, Canada, Belgium, United States"
5879,"Denmark, United Kingdom, Sweden"
5885,Belarus
5974,Cyprus
5993,"Lebanon, United States, United Arab Emirates"
6014,"United States, Hong Kong"
6018,"United States, Kazakhstan"
6020,"Argentina, France, United States, Germany, Qatar"
6025,"United States, Germany, United Kingdom"
6026,"United States, Germany, United Kingdom, Italy"
6069,"United States, New Zealand, United Kingdom"
6084,"Finland, United States"
6088,"Spain, France, Uruguay"
6095,"France, Belgium, United States"
6097,"France, Canada, United States"
6112,"Spain, Argentina"
6137,"United Kingdom, India, United States"
6144,"Chile, France"
6146,"United States, United Kingdom, France, Germany, Japan"
6151,"Canada, Norway"
6157,"United States, Hungary, Ireland, Canada"
6164,"United States, Canada, China"
6167,"United Kingdom, Malawi"
6173,"Ireland, Canada, Luxembourg, United States, United Kingdom, Philippines, India"
6183,"United States, Czech Republic, United Kingdom"
6187,"Ghana, United States"
6194,"Israel, Germany"
6214,"Spain, Mexico"
6216,"Mexico, France"
6223,"Brazil, United Kingdom"
6233,"France, Belgium, Luxembourg, Romania, Canada, United States"
6241,"Israel, Germany, Poland, Luxembourg, Belgium, France, United States"
6258,"France, Germany"
6262,"United States, Malta, France, United Kingdom"
6265,"United Kingdom, United States, Germany, Denmark, Belgium, Japan"
6272,"Austria, United States"
6274,"Canada, Australia"
6278,"Greece, United States"
6280,"United Kingdom, France, Belgium, Canada, United States"
6289,"Argentina, Chile"
6298,"Czech Republic, Slovakia"
6322,"United Kingdom, Germany, United States, France"
6325,"United Kingdom, Lithuania"
6327,"Egypt, France"
6333,"Spain, France, Canada"
6353,"United States, Greece, United Kingdom"
6366,"United Kingdom, China, United States, India"
6390,"Taiwan, Malaysia"
6396,"United States, Sweden, Norway"
6408,"United Kingdom, United States, Morocco"
6409,"United States, United Kingdom, Morocco"
6432,"United States, China, Canada"
6442,"Spain, Canada, United States"
6471,"Canada, Belgium"
6472,"United States, India, United Arab Emirates"
6479,"United Kingdom, Canada, France, United States"
6480,"Spain, Thailand, United States"
6488,"Canada, Germany, South Africa"
6520,"India, Germany, France"
6528,"United States, Israel, United Kingdom, Canada"
6530,"United Kingdom, Hungary, Australia"
